,Unnamed: 0,Name,language,genra,chapters,type,status,authors,published,score,views
11033,11033,The Reincarnation Magician Of The Inferior Eyes,EN/JA,"Action,Fantasy",Chap 114,Manga,Publishing,"Touge,Hiro,Kankitsu,Yusura","Nov4,2018to?",6.49,36342
11034,11034,The Reincarnation Of The Strongest Onmyoji ~ These Monsters Are Too Weak Compared To My Youkai~,EN/JA,"Action,Adventure,Fantasy",Chap 33,Manga,Publishing,"Okazaki,Toshinori(Art),Kosuzuki,Ichi(Story)","May19,2020to?",6.78,108245
11035,11035,The Reincarnation Record of Bocchi,EN/JA,"Action,Adventure,Fantasy",Chap 31,Manga,Publishing,"Itou,Eat(Art),Fast","Oct25,2019to?",,7219
11036,11036,The Remarriage Contract,EN,"Drama,Josei,Romance",Chap 58,Manhwa,Publishing,,?,,2117
11037,11037,The Remarried Empress,EN,"Drama,Fantasy,Historical",Chap 127,Manhwa,Publishing,"Alphatart(Story),Sumpul(Art)","Sep24,2019to?",8.15,10137
11038,11038,The Reproducer of Creation Magic,EN/JA,"Action,Fantasy,Seinen",Chap 9,Manga,Publishing,,?,,1832
11039,11039,The Results From When I Time Leaped To My Second Year Of High School And Confessed To The Teacher I Liked At The Time,EN/JA,"Comedy,Romance,School",Chap 54,Manga,Publishing,"Matsumoto,Komikan(Art),Kennoji","Jan18,2019toDec2,2020",6.77,11889
11040,11040,The Retired Demon of the Maxed Out Village,EN,"Comedy,Fantasy",Chap 6,Manga,Publishing,,?,,924
11041,11041,The Retreats,EN,"Action,Drama,Shounen",Chap 47,Manhwa,Publishing,,?,,53
11042,11042,The Return Of Apocalypses Tyrant,EN,"Action,Drama,Fantasy",Chap 30,Manhwa,Publishing,,?,,9760
11043,11043,The Return of Elena the Knight,EN,"Action,Drama,Fantasy",Chap 21,Manhwa,Publishing,,?,,1506
11044,11044,The Return Of Emperor Ye Xuan,EN,"Action,Adventure,Fantasy",Chap 34,Manhua,Publishing,,?,,2244
11045,11045,The Return of Princess Amy,EN,"Drama,Fantasy,Historical",Chap 31,Manhua,Publishing,,?,,1413
11046,11046,The Return of the 8th Class Magician,EN,"Fantasy,Magic,Shounen",Chap 81,Manhwa,Publishing,,?,,100947
11047,11047,The Return of the Crazy Demon,EN,"Action,Comedy,Fantasy",Chap 121,Manhwa,Publishing,,?,,86871
11048,11048,The Return of the Prodigious Swordmaster,EN,"Action,Adventure,Fantasy",Chap 20,Manhwa,Publishing,,?,,4413
11049,11049,The Return of the Retired Demon Lord,EN/JA,"Action,Adventure,Comedy",Chap 7,Manga,Publishing,,?,,10034
11050,11050,The Return of the Sect Leader,EN,"Action,Adventure,Fantasy",Chap 33,Manhua,Publishing,,?,,1864
11051,11051,The Revenge of My Youth: My Re Life with a Girl Who Was Too Much of an Angel,EN/JA,"Comedy,Romance,School",Chap 20,Manga,Publishing,,?,,19200
11052,11052,The Revenge of the Soul Eater,EN/JA,"Action,Adventure,Fantasy",Chap 10,Manga,Publishing,"Gyokuto(Story),Toujou,Chika","Mar26,2020to?",,3370
11053,11053,The Rewards of Marriage,EN,"Comedy,Fantasy,Romance",Chap 49,Manhwa,Publishing,,?,,7700
11054,11054,The Ride-On King,EN/JA,"Action,Comedy,Fantasy",Chap 72,Manga,Publishing,"Baba,Yasushi(Story&Art)","May26,2018to?",7.66,8392
11055,11055,The Right Way to Make Jump!,EN,Shounen,Chap 27.5,Manga,Finished,"Sakurai,Takeshi(Story&Art)","Sep22,2014toMay25,2015",6.77,131
11056,11056,The Rip-Off Izakaya,EN/JA,SliceofLife,Chap 13,Manga,Publishing,"Akikawa,Takimi(Story),Shiwasuda","Mar24,2016to?",,300
11057,11057,The Rise Of The Tentacle Magician,EN/JA,"Comedy,Ecchi,Fantasy",Chap 10,Manga,Publishing,"Iida,Eisei(Story),Yozakura,Elel","Apr1,2020to?",,6941
11058,11058,The Rise of the Unemployed Wise Man,EN/JA,"Action,Fantasy",Chap 179,Manga,Publishing,"Oomine(Art),Mikawa,Ghost","Jun7,2020to?",6.75,42988
11059,11059,The Rising of the Shield Hero,EN/FR/JA,"Drama,Fantasy,Seinen",Chap 108,Manga,Publishing,"Aiya,Kyu(Art),Aneko,Yusagi(Story)","Feb5,2014to?",7.93,152092
11060,11060,The Rising of the Shield Hero: Girl's Side Story,EN,"Action,Adventure,Fantasy",Chap 15,Manga,Publishing,,?,,2292
11061,11061,The Rising Of The Vibrator Hero,EN,"Comedy,Fantasy,Seinen",Chap 14,Manga,Publishing,,?,,8959
11062,11062,The Road to Wizard,JA,"Adventure,Fantasy,Shounen",Chap 10,Manga,Publishing,,?,,240
11063,11063,The Rock-Paper-Scissors Girl,EN,"Comedy,Romance",Chap 2,Manga,Finished,,?,,3363
